r,t,y,SalvageValue
REGION1,LNDALFHRBC1,2048,23.0061
REGION1,LNDALFHRBC1,2049,24.382
REGION1,LNDALFHRBC1,2050,24.7946
REGION1,LNDBRLHRBC1,2037,0.026
REGION1,LNDBRLHRBC1,2038,0.0507
REGION1,LNDBRLHRBC1,2039,0.1113
REGION1,LNDBRLHRBC1,2040,0.0966
REGION1,LNDBRLHRBC1,2041,0.118
REGION1,LNDBRLHRBC1,2042,0.1383
REGION1,LNDBRLHRBC1,2043,0.1577
REGION1,LNDBRLHRBC1,2044,1.1596
REGION1,LNDBRLHRBC1,2045,1.5787
REGION1,LNDBRLHRBC1,2046,1.6107
REGION1,LNDBRLHRBC1,2047,1.7312
REGION1,LNDBRLHRBC1,2048,1.8488
REGION1,LNDBRLHRBC1,2049,1.9588
REGION1,LNDBRLHRBC1,2050,2.1986
REGION1,LNDMAIHIBC1,2037,1.9024
REGION1,LNDMAIHIBC1,2038,3.5604
REGION1,LNDMAIHIBC1,2039,4.49
REGION1,LNDMAIHIBC1,2040,2.5778
REGION1,LNDMAIHIBC1,2041,15.1212
REGION1,LNDMAIHIBC1,2042,8.3688
REGION1,LNDMAIHIBC1,2043,25.5445
REGION1,LNDMAIHIBC1,2044,20.5886
REGION1,LNDMAIHIBC1,2045,12.8107
REGION1,LNDMAIHIBC1,2046,26.9702
REGION1,LNDMAIHIBC1,2047,10.2106
REGION1,LNDMAIHIBC1,2048,22.4176
REGION1,LNDMAIHIBC1,2049,14.0453
REGION1,LNDMAIHIBC1,2050,562.4184
REGION1,LNDOATHIBC1,2037,0.0253
REGION1,LNDOATHIBC1,2038,0.0493
REGION1,LNDOATHIBC1,2039,0.1446
REGION1,LNDOATHIBC1,2040,0.3828
REGION1,LNDOATHIBC1,2041,1.0222
REGION1,LNDOATHIBC1,2042,1.1976
REGION1,LNDOATHIBC1,2043,1.5193
REGION1,LNDOATHIBC1,2044,1.6973
REGION1,LNDOATHIBC1,2045,1.6778
REGION1,LNDOATHIBC1,2046,1.8225
REGION1,LNDOATHIBC1,2047,2.4008
REGION1,LNDOATHIBC1,2048,2.0932
REGION1,LNDOATHIBC1,2049,2.215
REGION1,LNDOATHIBC1,2050,2.6005
REGION1,LNDOTHIIBC1,2037,0.8015
REGION1,LNDOTHIIBC1,2038,1.4302
REGION1,LNDOTHIIBC1,2039,2.6865
REGION1,LNDOTHIIBC1,2040,1.9568
REGION1,LNDOTHIIBC1,2041,3.9574
REGION1,LNDOTHIIBC1,2042,4.6395
REGION1,LNDOTHIIBC1,2043,6.9659
REGION1,LNDOTHIIBC1,2044,4.9713
REGION1,LNDOTHIIBC1,2045,8.5567
REGION1,LNDOTHIIBC1,2046,8.1776
REGION1,LNDOTHIIBC1,2047,4.5837
REGION1,LNDOTHIIBC1,2048,8.7437
REGION1,LNDOTHIIBC1,2049,9.2668
REGION1,LNDOTHIIBC1,2050,165.9101
REGION1,LNDPEAHIBC1,2037,0.0741
REGION1,LNDPEAHIBC1,2038,0.0724
REGION1,LNDPEAHIBC1,2039,0.212
REGION1,LNDPEAHIBC1,2040,0.6748
REGION1,LNDPEAHIBC1,2041,0.8952
REGION1,LNDPEAHIBC1,2042,1.4439
REGION1,LNDPEAHIBC1,2043,1.197
REGION1,LNDPEAHIBC1,2044,1.8395
REGION1,LNDPEAHIBC1,2045,1.4691
REGION1,LNDPEAHIBC1,2046,1.5973
REGION1,LNDPEAHIBC1,2047,2.3632
REGION1,LNDPEAHIBC1,2048,1.8319
REGION1,LNDPEAHIBC1,2049,2.6738
REGION1,LNDPEAHIBC1,2050,2.0467
REGION1,LNDPTWHIBC1,2037,0.0001
REGION1,LNDPTWHIBC1,2040,0.0004
REGION1,LNDPTWHIBC1,2044,0.0008
REGION1,LNDPTWHIBC1,2047,0.001
REGION1,LNDPTWHIBC1,2050,0.0195
REGION1,LNDRAPHIBC1,2037,0.0301
REGION1,LNDRAPHIBC1,2038,0.1174
REGION1,LNDRAPHIBC1,2039,0.086
REGION1,LNDRAPHIBC1,2040,1.0189
REGION1,LNDRAPHIBC1,2041,1.6655
REGION1,LNDRAPHIBC1,2042,1.7927
REGION1,LNDRAPHIBC1,2043,2.0433
REGION1,LNDRAPHIBC1,2044,2.4867
REGION1,LNDRAPHIBC1,2045,2.5099
REGION1,LNDRAPHIBC1,2046,2.7276
REGION1,LNDRAPHIBC1,2047,3.1955
REGION1,LNDRAPHIBC1,2048,3.1308
REGION1,LNDRAPHIBC1,2049,3.3166
REGION1,LNDRAPHIBC1,2050,3.8089
REGION1,LNDRYEHRBC1,2047,0.0795
REGION1,LNDRYEHRBC1,2048,0.1131
REGION1,LNDRYEHRBC1,2049,0.1189
REGION1,LNDRYEHRBC1,2050,0.1257
REGION1,LNDWHEHRBC1,2037,0.013
REGION1,LNDWHEHRBC1,2038,0.0253
REGION1,LNDWHEHRBC1,2039,0.0371
REGION1,LNDWHEHRBC1,2040,0.0483
REGION1,LNDWHEHRBC1,2041,0.059
REGION1,LNDWHEHRBC1,2042,0.0692
REGION1,LNDWHEHRBC1,2044,0.0881
REGION1,LNDWHEHRBC1,2045,0.0968
REGION1,LNDWHEHRBC1,2046,0.3514
REGION1,LNDWHEHRBC1,2047,2.6223
REGION1,LNDWHEHRBC1,2048,2.7966
REGION1,LNDWHEHRBC1,2049,2.8366
REGION1,LNDWHEHRBC1,2050,3.1239
REGION1,MINNGS,2020,3.9571
REGION1,MINNGS,2024,0.0415
REGION1,MINNGS,2025,0.2452
REGION1,MINNGS,2026,0.3579
REGION1,MINNGS,2027,0.1104
REGION1,MINNGS,2028,0.0411
REGION1,MINNGS,2029,0.0436
REGION1,MINNGS,2030,0.2073
REGION1,MINNGS,2031,0.2877
REGION1,MINNGS,2032,0.1908
REGION1,MINNGS,2033,0.0049
REGION1,MINNGS,2034,0.0083
REGION1,MINNGS,2035,0.0179
REGION1,MINNGS,2036,0.0192
REGION1,MINNGS,2037,0.0087
REGION1,MINNGS,2038,0.0112
REGION1,MINNGS,2039,0.0139
REGION1,MINNGS,2040,0.0147
REGION1,MINNGS,2041,0.2979
REGION1,MINNGS,2042,0.0789
REGION1,MINNGS,2043,0.0789
REGION1,MINNGS,2044,0.0789
REGION1,MINNGS,2045,0.0789
REGION1,MINNGS,2046,0.0789
REGION1,MINNGS,2047,0.0789
REGION1,MINNGS,2048,0.0789
REGION1,MINNGS,2049,0.0789
REGION1,MINNGS,2050,0.0789
REGION1,PWRHYDB13,2025,5002.281
REGION1,PWRWNDB09,2027,11.0706
REGION1,PWRWNDB09,2028,15.1652
REGION1,PWRWNDB09,2029,21.4841
REGION1,PWRWNDB09,2030,52.5704
REGION1,PWRWNDB09,2031,71.1167
REGION1,PWRWNDB09,2032,82.6003
REGION1,PWRWNDB09,2033,57.3375
REGION1,PWRWNDB09,2034,36.456
REGION1,PWRWNDB09,2035,64.58
REGION1,PWRWNDB09,2036,55.3263
REGION1,PWRWNDB09,2037,106.9981
REGION1,PWRWNDB09,2038,145.9296
REGION1,PWRWNDB09,2039,135.5101
REGION1,PWRWNDB09,2040,100.7269
REGION1,PWRWNDB09,2041,91.8751
REGION1,PWRWNDB09,2042,98.9246
REGION1,PWRWNDB09,2043,207.7746
REGION1,PWRWNDB09,2044,106.5661
REGION1,PWRWNDB09,2045,716.9566
REGION1,PWRWNDB09,2046,284.1664
REGION1,PWRWNDB09,2047,287.025
REGION1,PWRWNDB09,2048,309.176
REGION1,PWRWNDB09,2049,363.6552
REGION1,PWRWNDB09,2050,125.8455
